ID,unwing,wing,log2FoldChange,padj
CL2475.Contig2_All,293.368909894863,76.4804521032156,1.95280514620806,0.0241029701907582
CL1990.Contig3_All,445.44255880921,146.344043394697,1.75205417926383,0.0248028666392047
Unigene13979_All,64.6827216634172,3.75973247105067,4.05344483402577,0.025014593725243
Unigene14937_All,772.974297919036,276.198866358529,1.48870464964046,0.0252785179582209
CL352.Contig1_All,288.120797425804,97.2960618469207,1.86835253803444,0.0253996357042455
Unigene6029_All,94.4654037635031,18.5582765328143,3.55216654295195,0.0254553474861827
Unigene1855_All,45.2269122200915,4.97308610493158,3.0440376850232,0.0265418105564676
CL1577.Contig2_All,1448.88855638929,49.4803756163492,13.6672429447892,0.027211755961422
Unigene16217_All,436.280274914317,93.5552710591935,2.64013233646421,0.0279811435210919
Unigene26602_All,57.3769109635895,6.59738341551322,4.03625569416165,0.0283710526520464
Unigene13282_All,403.821830713995,159.046248202202,1.80690532631023,0.0292829375572691
Unigene17291_All,175.468633356141,17.0686365945802,3.37175080640934,0.0298291501737074
Unigene15785_All,80.6985951173804,13.8760679360453,2.62313657351421,0.0300979568303233
Unigene12235_All,165.701024331197,46.3681291356494,1.74230926412101,0.0303209032228751
CL2305.Contig3_All,210.239225621691,37.6753080357329,2.09291802610464,0.0304239837563734
CL194.Contig1_All,1826.44593277671,765.541956949231,1.26074442650513,0.0305219051788423
CL2336.Contig1_All,1924.52851742866,688.428311575943,1.78051327678906,0.0305219051788423
Unigene6151_All,170.024432976243,43.2806408427131,1.9782718566825,0.0305219051788423
CL2157.Contig1_All,273.20121980585,96.24485722489,2.00087835326193,0.0305589075051396
